actor_id,Actor
891,Alan Alda
892,Wayne Rogers
893,Loretta Swit
894,Jamie Farr
895,Anna Paquin
896,Stephen Moyer
897,Sam Trammell
898,Ryan Kwanten
899,Alan Ritchson
900,Malcolm Goodwin
901,Willa Fitzgerald
902,Hugh Thompson
903,Josefine Frida Pettersen
904,Iman Meskini
905,Ulrikke Falch
906,Lisa Teige
907,Tony Hale
908,Anna Chlumsky
909,Reid Scott
910,Lee Pace
911,Anna Friel
912,Chi McBride
913,Jim Dale
914,Richard Madden
915,Vincent Franklin
916,Ash Tandon
917,Matthew Morrison
918,Tony Shalhoub
919,Jon Cryer
920,Don Cheadle
921,Jeffrey Tambor
922,Anthony Anderson
923,Will Forte
924,Aziz Ansari
925,Zach Galifianakis
926,Ted Danson
927,Michael Douglas
928,Ramy Youssef
929,Kenan Thompson
930,Nicholas Hoult
931,Steve Martin
932,Martin Short
933,Lea Michele
934,Melissa McCarthy
935,Martha Plimpton
936,Zooey Deschanel
937,Lena Dunham
938,Laura Dern
939,Amy Schumer
940,Lily Tomlin
941,Ellie Kemper
942,Laurie Metcalf
943,Tracee Ellis Ross
944,Jane Fonda
945,Issa Rae
946,Christina Applegate
947,Natasha Lyonne
948,Catherine O'Hara
949,Aidy Bryant
950,Quinta Brunson
951,Elle Fanning
952,Matthew Fox
953,Woody Harrelson
954,Matthew McConaughey
955,Anthony Hopkins
956,Billy Porter
957,Jeremy Strong
958,Josh O'Connor
959,Jonathan Majors
960,Regé-Jean Page
961,Kyra Sedgwick
962,Glenn Close
963,Mariska Hargitay
964,Michelle Dockery
965,Vera Farmiga
966,Kerry Washington
967,Lizzy Caplan
968,Jodie Comer
969,Emma Corrin
970,Uzo Aduba
971,Michaela Jaé Rodriguez
972,Jurnee Smollett
973,Eric Stonestreet
974,Chris Colfer
975,Jesse Tyler Ferguson
976,Ed O'Neill
977,Max Greenfield
978,Adam Driver
979,Fred Armisen
980,Andre Braugher
981,Tituss Burgess
982,Keegan-Michael Key
983,Louie Anderson
984,Matt Walsh
985,Henry Winkler
986,Alan Arkin
987,Mahershala Ali
988,Carl Clemons-Hopkins
989,Nick Mohammed
990,Paul Reiser
991,Jeremy Swift
992,Bowen Yang
993,Toheeb Jimoh
994,Tyler James Williams
995,Jane Lynch
996,Jane Krakowski
997,Holland Taylor
998,Kristen Wiig
999,Betty White
1000,Mayim Bialik
1001,Kathryn Joosten[4]
1002,Kate McKinnon
1003,Kate Mulgrew
1004,Gaby Hoffmann
1005,Niecy Nash
1006,Judith Light
1007,Vanessa Bayer
1008,Leslie Jones
1009,Betty Gilpin
1010,Megan Mullally
1011,D'Arcy Carden
1012,Yvonne Orji
1013,Cecily Strong
1014,Hannah Einbinder
1015,Rosie Perez
1016,Juno Temple
1017,Sheryl Lee Ralph
1018,Janelle James
1019,Sarah Niles
1020,Terry O'Quinn
1021,John Slattery
1022,Alan Cumming
1023,Giancarlo Esposito
1024,Jim Carter
1025,Bobby Cannavale
1026,Jon Voight
1027,Michael Kelly
1028,Ben Mendelsohn
1029,John Lithgow
1030,Ron Cephas Jones
1031,Nikolaj Coster-Waldau
1032,Joseph Fiennes
1033,Alfie Allen
1034,Chris Sullivan
1035,Matthew Macfadyen
1036,Bradley Whitford
1037,Tobias Menzies
1038,O. T. Fagbenle
1039,Max Minghella
1040,Michael K. Williams (posthumous)
1041,O Yeong-su
1042,Christopher Walken
1043,Archie Panjabi
1044,Christine Baranski
1045,Rose Byrne
1046,Sharon Gless
1047,Christina Hendricks
1048,Margo Martindale
1049,Michelle Forbes
1050,Maggie Smith
1051,Joanne Froggatt
1052,Maura Tierney
1053,Maisie Williams
1054,Constance Zimmer
1055,Samira Wiley
1056,Vanessa Kirby
1057,Julia Garner
1058,Gwendoline Christie
1059,Fiona Shaw
1060,Sophie Turner
1061,Helena Bonham Carter
1062,Sarah Snook
1063,Meryl Streep
1064,Madeline Brewer
1065,Aunjanue Ellis
1066,Emerald Fennell
1067,Patricia Arquette
1068,HoYeon Jung
1069,Christina Ricci
1070,J. Smith-Cameron
1071,Sydney Sweeney
1072,Sterling K
1073,Lee Jung
1074,Julia Louis
1075,Phoebe Waller
1076,Zendaya 
