,Title,url,Rank,Years of running,Certificate,Run time in minutes,Genre,Rating,Actors,Votes,Synopsis
11,The X-Files,/title/tt0106179/?ref_=ttls_li_tt,12,(1993–2018),14,45  ,"Crime, Drama, Mystery",8.6,"['David Duchovny', 'Gillian Anderson', 'Mitch Pileggi', 'William B. Davis']",233639,"Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts."
12,Chernobyl,/title/tt7366338/?ref_=ttls_li_tt,13,(2019),MA,330  ,"Drama, History, Thriller",9.4,"['Jessie Buckley', 'Jared Harris', 'Stellan Skarsgård', 'Adam Nagaitis']",793644,"In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes."
13,Better Call Saul,/title/tt3032476/?ref_=ttls_li_tt,14,(2015–2022),MA,46  ,"Crime, Drama",8.9,"['Bob Odenkirk', 'Rhea Seehorn', 'Jonathan Banks', 'Patrick Fabian']",570428,The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.
14,Narcos,/title/tt2707408/?ref_=ttls_li_tt,15,(2015–2017),MA,49  ,"Biography, Crime, Drama",8.8,"['Pedro Pascal', 'Wagner Moura', 'Boyd Holbrook', 'Alberto Ammann']",440200,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years."
15,Family Guy,/title/tt0182576/?ref_=ttls_li_tt,16,(1999– ),MA,22  ,"Animation, Comedy",8.2,"['Seth MacFarlane', 'Alex Borstein', 'Seth Green', 'Mila Kunis']",349670,"In a wacky Rhode Island town, a dysfunctional family strives to cope with everyday life as they are thrown from one crazy scenario to another."
16,Parks and Recreation,/title/tt1266020/?ref_=ttls_li_tt,17,(2009–2015),14,22  ,Comedy,8.6,"['Amy Poehler', ""Jim O'Heir"", 'Nick Offerman', 'Chris Pratt']",269294,The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.
17,The Simpsons,/title/tt0096697/?ref_=ttls_li_tt,18,(1989– ),14,22  ,"Animation, Comedy",8.7,"['Dan Castellaneta', 'Nancy Cartwright', 'Harry Shearer', 'Julie Kavner']",416808,The satiric adventures of a working-class family in the misfit city of Springfield.
18,The Wire,/title/tt0306414/?ref_=ttls_li_tt,19,(2002–2008),MA,59  ,"Crime, Drama, Thriller",9.3,"['Dominic West', 'Lance Reddick', 'Sonja Sohn', 'Wendell Pierce']",351449,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement."
19,Rome,/title/tt0384766/?ref_=ttls_li_tt,20,(2005–2007),MA,52  ,"Action, Drama, Romance",8.7,"['Kevin McKidd', 'Ray Stevenson', 'Polly Walker', 'Kerry Condon']",176246,A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.
20,Rick and Morty,/title/tt2861424/?ref_=ttls_li_tt,21,(2013– ),14,23  ,"Animation, Adventure, Comedy",9.1,"['Justin Roiland', 'Chris Parnell', 'Spencer Grammer', 'Sarah Chalke']",549203,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.
