,Title,url,Rank,Years of running,Certificate,Run time in minutes,Genre,Rating,Actors,Votes,Synopsis
79,Death Note,/title/tt0877057/?ref_=ttls_li_tt,80,(2006–2007),14,23 ,"Animation, Crime, Drama",9,"['Mamoru Miyano', 'Brad Swaile', 'Vincent Tong', 'Ryô Naitô']",341074,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.
80,Star Trek,/title/tt0060028/?ref_=ttls_li_tt,81,(1966–1969),PG,50 ,"Action, Adventure, Sci-Fi",8.4,"['William Shatner', 'Leonard Nimoy', 'DeForest Kelley', 'Nichelle Nichols']",87275,"In the 23rd Century, Captain James T. Kirk and the crew of the U.S.S. Enterprise explore the galaxy and defend the United Federation of Planets."
81,Edge of Tomorrow,/title/tt1631867/?ref_=ttls_li_tt,82,(2014),PG-13,113 ,"Action, Adventure, Sci-Fi",7.9,"['Doug Liman', 'Tom Cruise', 'Emily Blunt', 'Bill Paxton', 'Brendan Gleeson']",697121,"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies."
82,The Marvelous Mrs. Maisel,/title/tt5788792/?ref_=ttls_li_tt,83,(2017–2023),MA,57 ,"Comedy, Drama",8.7,"['Rachel Brosnahan', 'Alex Borstein', 'Michael Zegen', 'Marin Hinkle']",122339,"After her husband leaves her, young mother of two Miriam ""Midge"" Maisel discovers that she has a talent for stand-up comedy. Could this be her calling?"
83,Lie to Me,/title/tt1235099/?ref_=ttls_li_tt,84,(2009–2011),14,43 ,"Crime, Drama, Mystery",8,"['Tim Roth', 'Kelli Williams', 'Brendan Hines', 'Monica Raymund']",123142,"About Cal Lightman, the world's leading deception expert who studies facial expressions and involuntary body language to expose the truth behind the lies."
84,Superstore,/title/tt4477976/?ref_=ttls_li_tt,85,(2015–2021),14,22 ,Comedy,7.8,"['Ben Feldman', 'Lauren Ash', 'Colton Dunn', 'Nico Santos']",62241,A look at the lives of employees at a big box store.
85,The Rookie,/title/tt7587890/?ref_=ttls_li_tt,86,(2018– ),14,43 ,"Action, Crime, Drama",8,"['Nathan Fillion', 'Alyssa Diaz', 'Richard T. Jones', ""Melissa O'Neil""]",48250,"Starting over isn't easy, especially for John Nolan who, after a life-altering incident, is pursuing his dream of joining the LAPD. As their oldest rookie, he's met with skepticism from those who see him as just a walking midlife crisis."
86,The Good Doctor,/title/tt6470478/?ref_=ttls_li_tt,87,(2017– ),14,41 ,Drama,8,"['Freddie Highmore', 'Hill Harper', 'Richard Schiff', 'Christina Chang']",101066,"Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital."
87,Spaced,/title/tt0187664/?ref_=ttls_li_tt,88,(1999–2001),14,25 ,"Action, Comedy",8.5,"['Simon Pegg', 'Jessica Hynes', 'Julia Deakin', 'Nick Frost']",55826,"Friends Tim and Daisy, 20-something North Londoners with uncertain futures, must pretend to be a couple to live in the only apartment they can afford."
88,The Affair,/title/tt2699110/?ref_=ttls_li_tt,89,(2014–2019),MA,60 ,Drama,7.9,"['Dominic West', 'Ruth Wilson', 'Maura Tierney', 'Julia Goldani Telles']",47247,A struggling novelist and a young waitress strike up an extramarital relationship that promises to forever change the course of their lives.
