,Title,url,Rank,Years of running,Certificate,Run time in minutes,Genre,Rating,Actors,Votes,Synopsis
10,BoJack Horseman,/title/tt3398228/?ref_=ttls_li_tt,11,(2014–2020),MA,25 ,"Animation, Comedy, Drama",8.8,"['Will Arnett', 'Amy Sedaris', 'Alison Brie', 'Aaron Paul']",168207,"BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters."
11,Anne with an E,/title/tt5421602/?ref_=ttls_li_tt,12,(2017–2019),PG,60 ,"Drama, Family",8.7,"['Amybeth McNulty', 'Geraldine James', 'R.H. Thomson', 'Dalila Bela']",59137,"The adventures of a young orphan girl living in the early 19th century. Follow Anne as she learns to navigate her new life on Prince Edward Island, in this new take on L.M. Montgomery's classic novels."
12,Formula 1: Drive to Survive,/title/tt8289930/?ref_=ttls_li_tt,13,(2019– ),MA,40 ,"Documentary, Sport",8.6,"['Will Buxton', 'Jack Nicholls', 'Daniel Ricciardo', 'Lewis Hamilton']",45109,Docuseries following the FIA Formula One World Championship across multiple seasons.
13,Daredevil,/title/tt3322312/?ref_=ttls_li_tt,14,(2015–2018),MA,54 ,"Action, Crime, Drama",8.6,"['Charlie Cox', ""Vincent D'Onofrio"", 'Deborah Ann Woll', 'Elden Henson']",451998,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
14,The Queen's Gambit,/title/tt10048342/?ref_=ttls_li_tt,15,(2020),MA,60 ,Drama,8.6,"['Anya Taylor-Joy', 'Chloe Pirrie', 'Bill Camp', 'Marcin Dorocinski']",485814,"Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price."
15,Mindhunter,/title/tt5290382/?ref_=ttls_li_tt,16,(2017–2019),MA,60 ,"Crime, Drama, Mystery",8.6,"['Jonathan Groff', 'Holt McCallany', 'Anna Torv', 'Hannah Gross']",304165,"Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases."
16,The Haunting of Hill House,/title/tt6763664/?ref_=ttls_li_tt,17,(2018),MA,572 ,"Drama, Horror, Mystery",8.6,"['Michiel Huisman', 'Carla Gugino', 'Henry Thomas', 'Elizabeth Reaser']",257167,"Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it."
17,Making a Murderer,/title/tt5189670/?ref_=ttls_li_tt,18,(2015–2018),14,60 ,"Documentary, Crime",8.6,"['Steven Avery', 'Dolores Avery', 'Laura Nirider', 'Allan Avery']",98611,"Filmed over a 10-year period, Steven Avery, a DNA exoneree who, while in the midst of exposing corruption in local law enforcement, finds himself the prime suspect in a grisly new crime."
18,Sacred Games,/title/tt6077448/?ref_=ttls_li_tt,19,(2018–2019),MA,50 ,"Action, Crime, Drama",8.5,"['Saif Ali Khan', 'Nawazuddin Siddiqui', 'Neeraj Kabi', 'Elnaaz Norouzi']",89583,"A link in their pasts leads an honest cop to a fugitive gang boss, whose cryptic warning spurs the officer on a quest to save Mumbai from cataclysm."
19,Hilda,/title/tt6385540/?ref_=ttls_li_tt,20,(2018– ),Y7,24 ,"Animation, Adventure, Comedy",8.5,"['Bella Ramsey', 'Ameerah Falzon-Ojo', 'Oliver Nelson', 'Daisy Haggard']",11799,"A fearless blue-haired girl named Hilda leaves the forest to go to town and find new friends, great adventures, magic and mysterious creatures who might be dangerous."
20,The Punisher,/title/tt5675620/?ref_=ttls_li_tt,21,(2017–2019),MA,53 ,"Action, Crime, Drama",8.5,"['Jon Bernthal', 'Amber Rose Revah', 'Ben Barnes', 'Jason R. Moore']",246542,"After his revenge on those who murdered his family, aimless Marine veteran Frank Castle finds a new meaning in life as a vigilante known as ""The Punisher""."
21,"Love, Death & Robots",/title/tt9561862/?ref_=ttls_li_tt,22,(2019– ),MA,15 ,"Animation, Short, Action",8.4,"['Fred Tatasciore', 'Scott Whyte', 'Nolan North', 'Noshir Dalal']",178151,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
22,Trailer Park Boys,/title/tt0290988/?ref_=ttls_li_tt,23,(2001–2018),MA,30 ,"Comedy, Crime",8.6,"['John Paul Tremblay', 'Robb Wells', 'Mike Smith', 'John Dunsworth']",46580,Three petty felons have a documentary made about their life in a trailer park.
23,Trollhunters: Tales of Arcadia,/title/tt1734135/?ref_=ttls_li_tt,24,(2016– ),Y7,23 ,"Animation, Action, Adventure",8.4,"['Charlie Saxton', 'Lexi Medrano', 'Anton Yelchin', 'Kelsey Grammer']",17803,"An ordinary boy finds a magic amulet that chooses him to be a Trollhunter, a guardian that defends the world of humans and the secret world of trolls."
24,Chef's Table,/title/tt4295140/?ref_=ttls_li_tt,25,(2015–2019),MA,50 ,Documentary,8.5,"['Bill Buford', 'Massimo Bottura', 'Francis Mallmann', 'Ruth Reichl']",16168,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven."
25,Ozark,/title/tt5071412/?ref_=ttls_li_tt,26,(2017–2022),MA,60 ,"Crime, Drama, Thriller",8.5,"['Jason Bateman', 'Laura Linney', 'Sofia Hublitz', 'Skylar Gaertner']",325976,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss."
26,The Last Kingdom,/title/tt4179452/?ref_=ttls_li_tt,27,(2015–2022),MA,60 ,"Action, Drama, History",8.5,"['Alexander Dreymon', 'Eliza Butterworth', 'Arnas Fedaravicius', 'Mark Rowley']",151608,"As Alfred the Great defends his kingdom from Norse invaders, Uhtred--born a Saxon but raised by Vikings--seeks to claim his ancestral birthright."
27,After Life,/title/tt8398600/?ref_=ttls_li_tt,28,(2019–2022),MA,30 ,"Comedy, Drama",8.4,"['Ricky Gervais', 'Tom Basden', 'Tony Way', 'Diane Morgan']",142621,"After Tony's wife dies, his nice-guy persona is altered into an impulsive, devil-may-care attitude that takes his old world by storm."
28,Unbelievable,/title/tt7909970/?ref_=ttls_li_tt,29,(2019),MA,385 ,"Crime, Drama",8.4,"['Kaitlyn Dever', 'Toni Collette', 'Merritt Wever', 'Blake Ellis']",108516,"A teenager is charged with lying about having been raped, but two detectives follow the path to the truth."
29,Narcos: Mexico,/title/tt8714904/?ref_=ttls_li_tt,30,(2018–2021),MA,50 ,"Crime, Drama",8.4,"['Scoot McNairy', 'José María Yazpik', 'Alejandro Edda', 'Alfonso Dosal']",87617,The rise of the Guadalajara Cartel as an American DEA agent learns the danger of targeting narcos in Mexico.
30,The Mechanism,/title/tt6873658/?ref_=ttls_li_tt,31,(2018–2019),MA,41 ,"Crime, Drama, Thriller",8,"['Caroline Abras', 'Selton Mello', 'Enrique Diaz', 'Jonathan Haagensen']",36424,Dramatic fiction series loosely inspired by an investigation of corruption in Brazil's private and state oil companies and construction companies.
31,Kingdom,/title/tt6611916/?ref_=ttls_li_tt,32,(2019– ),MA,45 ,"Action, Drama, Horror",8.3,"['Ju Ji-Hoon', 'Bae Doona', 'Kim Sungkyu', 'Kim Hye-jun']",49491,"While strange rumors about their ill King grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land."
32,The Dark Crystal: Age of Resistance,/title/tt6905542/?ref_=ttls_li_tt,33,(2019),PG,60 ,"Animation, Adventure, Family",8.4,"['Neil Sterenberg', 'Beccy Henderson', 'Nathalie Emmanuel', 'Taron Egerton']",25873,"Return to the world of Thra, where three Gelfling discover the horrifying secret behind the Skeksis' power, and set out to ignite the fires of rebellion and save their world."
33,The Dragon Prince,/title/tt8688814/?ref_=ttls_li_tt,34,(2018– ),Y7,26 ,"Animation, Action, Adventure",8.3,"['Paula Burrows', 'Jack De Sena', 'Sasha Rojen', 'Jason Simpson']",24933,"Two human princes forge an unlikely bond with the elfin assassin sent to kill them, embarking on an epic quest to bring peace to their warring lands."
34,Julie and the Phantoms,/title/tt10183988/?ref_=ttls_li_tt,35,(2020),G,26 ,"Animation, Action, Adventure",8.3,"['Paula Burrows', 'Jack De Sena', 'Sasha Rojen', 'Jason Simpson']",24933,"Two human princes forge an unlikely bond with the elfin assassin sent to kill them, embarking on an epic quest to bring peace to their warring lands."
35,Last Chance U,/title/tt5863126/?ref_=ttls_li_tt,36,(2016–2020),MA,55 ,"Documentary, Sport",8.4,"['Ron Ollie', 'Brittany Wagner', 'Buddy Stephens', 'Frank Wilson Jr.']",7211,"Intense look inside the world of junior college football, chronicling the stories of players and coaches in the classroom and on the field."
36,Money Heist,/title/tt6468322/?ref_=ttls_li_tt,37,(2017–2021),MA,70 ,"Action, Crime, Drama",8.2,"['Úrsula Corberó', 'Álvaro Morte', 'Itziar Ituño', 'Pedro Alonso']",494298,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.
37,Sex Education,/title/tt7767422/?ref_=ttls_li_tt,38,(2019– ),MA,45 ,"Comedy, Drama",8.3,"['Asa Butterfield', 'Gillian Anderson', 'Ncuti Gatwa', 'Emma Mackey']",298153,A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.
